invoice_id,date,customer_name,customer_vat_id,customer_country,net_amount,vat_rate_percent,vat_amount,product_type
INV-2024-001,2024-01-15,Deutsche Tech GmbH,DE123456789,DE,1250.00,21,262.50,goods
INV-2024-002,2024-01-16,French Software SARL,FR12345678901,FR,2500.00,20,500.00,digital_service
INV-2024-003,2024-01-17,Italian Manufacturing Srl,,IT,890.00,22,195.80,goods
INV-2024-004,2024-01-18,Belgian Consulting BVBA,BE1234567890,BE,3200.00,0,0.00,services
INV-2024-005,2024-01-19,Spanish Retail SL,ES12345678Z,ES,750.00,25,187.50,goods
INV-2024-006,2024-01-20,Dutch Tech BV,NL123456789B01,NL,1800.00,21,378.00,digital_service
INV-2024-007,2024-01-21,Austrian Services GmbH,ATU12345678,AT,950.00,19,180.50,services
INV-2024-008,2024-01-22,Polish Software Sp. z o.o.,PL1234567890,PL,1500.00,23,345.00,digital_service
INV-2024-009,2024-01-23,Czech Republic Client,,CZ,650.00,21,136.50,goods
INV-2024-010,2024-01-24,Swedish Enterprise AB,SE123456789012,SE,2200.00,0,0.00,services
